Restaurant,SubCategory,Item,Calories
Sonic,Iced Tea,Green Tea Wacky Pack,90
Sonic,Iced Tea,Iced Tea Large,5
Sonic,Iced Tea,Iced Tea Medium,5
Sonic,Iced Tea,Iced Tea Route 44,10
Sonic,Iced Tea,Iced Tea Small,5
Sonic,Iced Tea,Iced Tea Wacky Pack,5
Sonic,Iced Tea,Lemon Diet Green Iced Tea Gallon,60
Sonic,Slush,Atomic Lemon Slush Large,440
Sonic,Slush,Atomic Lemon Slush Medium,270
Sonic,Slush,Atomic Lemon Slush Mini,160
Sonic,Slush,Atomic Lemon Slush Route 44,600
Sonic,Slush,Atomic Lemon Slush Small,190
Sonic,Slush,Banana Taffy Slush Large,430
Sonic,Slush,Banana Taffy Slush Medium,270
Sonic,Slush,Banana Taffy Slush Route 44,590
Sonic,Slush,Banana Taffy Slush Small,190
Sonic,Slush,Banana Taffy Slush Wacky Pack,160
Sonic,Slush,Blue Coconut Slush Large,450
Sonic,Slush,Blue Coconut Slush Medium,280
Sonic,Slush,Blue Coconut Slush Route 44,610
Sonic,Slush,Blue Coconut Slush Small,190
Sonic,Slush,Blue Coconut Slush Wacky Pack,170
Sonic,Slush,Cherry Slush Large,460
Sonic,Slush,Cherry Slush Medium,290
Sonic,Slush,Cherry Slush Route 44,630
Sonic,Slush,Cherry Slush Small,190
Sonic,Slush,Cherry Slush Wacky Pack,170
Sonic,Slush,Cotton Candy Slush Large,430
Sonic,Slush,Cotton Candy Slush Medium,270
Sonic,Slush,Cotton Candy Slush Route 44,600
Sonic,Slush,Cotton Candy Slush Small,190
Sonic,Slush,Cotton Candy Slush Wacky Pack,160
Sonic,Slush,Grape Slush Large,450
Sonic,Slush,Grape Slush Medium,280
Sonic,Slush,Grape Slush Route 44,610
Sonic,Slush,Grape Slush Small,190
Sonic,Slush,Grape Slush Wacky Pack,170
Sonic,Slush,Green Apple Slush Large,480
Sonic,Slush,Green Apple Slush Medium,300
Sonic,Slush,Green Apple Slush Route 44,660
Sonic,Slush,Green Apple Slush Small,200
Sonic,Slush,Green Apple Slush Wacky Pack,180
Sonic,Slush,Miami Sunrise Slush Large,430
Sonic,Slush,Miami Sunrise Slush Medium,270
Sonic,Slush,Miami Sunrise Slush Route 44,580
Sonic,Slush,Miami Sunrise Slush Small,180
Sonic,Slush,Miami Sunrise Slush Wacky Pack,160
Sonic,Slush,Minute Maid Cranberry Slush Large,450
Sonic,Slush,Minute Maid Cranberry Slush Medium,280
Sonic,Slush,Minute Maid Cranberry Slush Route 44,620
Sonic,Slush,Minute Maid Cranberry Slush Small,190
Sonic,Slush,Minute Maid Cranberry Slush Wacky Pack,170
Sonic,Slush,Orange Slush Large,450
Sonic,Slush,Orange Slush Medium,290
Sonic,Slush,Orange Slush Route 44,620
Sonic,Slush,Orange Slush Small,190
Sonic,Slush,Orange Slush Wacky Pack,170
Sonic,Slush,Polynesian Punch Slush Large,420
Sonic,Slush,Polynesian Punch Slush Medium,260
Sonic,Slush,Polynesian Punch Slush Route 44,580
Sonic,Slush,Polynesian Punch Slush Small,180
Sonic,Slush,Polynesian Punch Slush Wacky Pack,160
Sonic,Slush,Sour Blue Raspberry Slush Large,470
Sonic,Slush,Sour Blue Raspberry Slush Medium,290
Sonic,Slush,Sour Blue Raspberry Slush Route 44,640
Sonic,Slush,Sour Blue Raspberry Slush Small,200
Sonic,Slush,Sour Blue Raspberry Slush Wacky Pack,170
Sonic,Slush,Super Peach Ring Slush Large,430
Sonic,Slush,Super Peach Ring Slush Medium,270
Sonic,Slush,Super Peach Ring Slush Route 44,590
Sonic,Slush,Super Peach Ring Slush Small,190
Sonic,Slush,Super Peach Ring Slush Wacky Pack,150
Sonic,Slush,Watermelon Slush Large,460
Sonic,Slush,Watermelon Slush Medium,290
Sonic,Slush,Watermelon Slush Route 44,630
Sonic,Slush,Watermelon Slush Small,190
Sonic,Slush,Watermelon Slush Wacky Pack,170
Taco Bell,Coffee,Cinnabon Delights Coffee Hot,160
Taco Bell,Coffee,Cinnabon Delights Coffee Iced,160
Taco Bell,Coffee,Premium Hot Coffee with creamer,35
Taco Bell,Coffee,Premium Iced Coffee,10
Taco Bell,Coffee,Premium Roast Coffee 12.5 oz,10
Taco Bell,Iced Tea,Brisk Iced Tea and Lemonade 16 oz,80
Taco Bell,Iced Tea,Brisk Iced Tea and Lemonade 20 oz,100
Taco Bell,Iced Tea,Brisk Iced Tea and Lemonade 30 oz,150
Taco Bell,Iced Tea,Brisk Iced Tea and Lemonade 40 oz,200
Taco Bell,Iced Tea,Brisk Mango Fiesta 16 oz,100
Taco Bell,Iced Tea,Brisk Mango Fiesta 20 oz,120
Taco Bell,Iced Tea,Brisk Mango Fiesta 30 oz,190
Taco Bell,Iced Tea,Brisk Mango Fiesta 40 oz,250
Taco Bell,Juice,Orange Juice 10 oz,140
Taco Bell,Juice,Tropicana Pink Lemonade 16 oz,200
Taco Bell,Juice,Tropicana Pink Lemonade 20 oz,250
Taco Bell,Juice,Tropicana Pink Lemonade 30 oz,380
Taco Bell,Juice,Tropicana Pink Lemonade 40 oz,500
Taco Bell,Slush,AirHeads White Mystery Freeze 16 oz,170
Taco Bell,Slush,AirHeads White Mystery Freeze 20 oz,210
Taco Bell,Slush,RockstarÂ® Punch Freeze,220
Taco Bell,Slush,Snapple Lemonade Freeze 16 oz,190
Taco Bell,Slush,Snapple Lemonade Freeze 20 oz,240
Taco Bell,Slush,Starburst Strawberry Freeze 16 oz,190
Taco Bell,Slush,Starburst Strawberry Freeze 20 oz,240
Taco Bell,Soda,Diet Mountain Dew Baja Blast 16 oz,0
Taco Bell,Soda,Diet Mountain Dew Baja Blast 20 oz,0
Taco Bell,Soda,Diet Mountain Dew Baja Blast 30 oz,0
Taco Bell,Soda,Diet Mountain Dew Baja Blast 40 oz,0
Taco Bell,Soda,Diet Pepsi 16 oz,0
Taco Bell,Soda,Diet Pepsi 20 oz,0
Taco Bell,Soda,Diet Pepsi 30 oz,0
