Restaurant,Category,SubCategory,Item,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Arby's,Sandwich,Flatbread,Steak Fajita Flatbread Spicy,580,260,29,9,0.5,195,1510,51,3,6,31
Arby's,Sandwich,Melt,Arby's Melt,330,100,11,4,0,30,920,40,2,5,18
Arby's,Sandwich,Melt,Jr Bacon Cheddar Melt,280,110,12,4,0,40,890,25,1,4,17
Arby's,Sandwich,Melt,Ham & Swiss Melt,300,80,9,4,0,35,1030,37,2,6,18
Arby's,Sandwich,Melt,Jr Ham & Cheddar Melt,210,60,6,2,0,25,900,26,1,4,13
Arby's,Sandwich,Roast Beef,Roast Beef Classic,350,110,12,4,1,45,950,39,2,5,23
Arby's,Sandwich,Roast Beef,Roast Beef Max,580,200,22,9,1,110,1870,49,3,6,45
Arby's,Sandwich,Roast Beef,Roast Beef Mid,440,150,17,6,1,75,1380,40,2,5,33
Arby's,Sandwich,Roast Beef,Super Roast Beef,430,160,17,5,1,45,1060,45,3,11,23
Arby's,Sandwich,Roast Beef,Jr Roast Beef,210,60,6,2,0,25,520,25,1,3,12
Arby's,Sandwich,Roast Beef,Roast Beef Gyro,520,230,26,7,1,70,1380,48,3,5,25
Arby's,Sandwich,Roast Beef,Jr Roast Beef Sandwich,210,60,6,2,0,25,520,25,1,3,12
Arby's,Sandwich,Sandwich,Arby-Q Sandwich,400,90,10,3,0,30,1230,58,3,23,18
Arby's,Sandwich,Sandwich,Beef 'n Cheddar Classic,440,160,18,5,1,45,1290,47,2,9,23
Arby's,Sandwich,Sandwich,Beef 'n Cheddar Mid,530,200,23,7,1,80,1720,48,2,9,34
Arby's,Sandwich,Sandwich,Jr Deluxe Sandwich,260,110,12,3,0,30,560,26,2,4,13
Arby's,Sandwich,Sandwich,Reuben Sandwich,640,270,30,8,0,55,1610,62,4,7,32
Arby's,Sandwich,Sandwich,Roast Turkey & Swiss Sandwich,700,250,27,7,0,80,1770,77,5,18,39
